index,CHECK,reference,title,year,citation,study_type,common_name,order,family,genus,species,subspecies,lifestage,count_target_average,count_target_min,count_target_max,count_flock_average,count_flock_min,count_flock_max,latitude_avg,longitude_avg,location_1,latitude_1,longitude_1,location_2,latitude_2,longitude_2,location_3,latitude_3,longitude_3,location_4,latitude_4,longitude_4,location_5,latitude_5,longitude_5,date_1,date_2,date_3,date_4,date_5,date_6,temperature_min_study,temperature_max_study,temperature_binary_study,wind_speed_min_study,wind_speed_max_study,wind_speed_binary_study,wind_direction_d,relative_wind_direction_ms,wind_direction_binary,drone,drone_type,drone_shape,drone_size_mm,drone_noise_db,db_distance_m,drone_noise_dba,dba_distance_m,drone_colour,approach_type,altitude_max,altitude_min,distance_max,distance_min,min_approach_speed_m_s,max_approach_speed_m_s,approach_speed_b,approaches_study,approaches_species_drone_lifestage_approachtype,approach_description,response_measure_1,response_measure_2,response_measure_description,result_description,minimum_successful_approach_m,maximum_unsuccessful_approach_m,html
262,,"Weimerskirch, H., et al. (2018). ""Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses."" Polar Biology 41(2): 259-266.",Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses.,2018,"Weimerskirch, H., et al. (2018)",,light-mantled sooty albatross,Procellariiformes,Diomedeidae,Phoebetria,palpebrata,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>light-mantled sooty albatross</td><td><em>Phoebetria palpebrata</em></td><td></td><td>dji phantom 3</td><td></td><td></td><td></td><td>Weimerskirch, H., et al. (2018) <span class=endnote>Weimerskirch, H., et al. (2018). ""Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses."" Polar Biology 41(2): 259-266.</span></td></tr>"
263,,"Weimerskirch, H., et al. (2018). ""Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses."" Polar Biology 41(2): 259-266.",Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses.,2018,"Weimerskirch, H., et al. (2018)",,southern giant petrel,Procellariiformes,Procellariidae,Macronectes,giganteus,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>southern giant petrel</td><td><em>Macronectes giganteus</em></td><td></td><td>dji phantom 3</td><td></td><td></td><td></td><td>Weimerskirch, H., et al. (2018) <span class=endnote>Weimerskirch, H., et al. (2018). ""Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses."" Polar Biology 41(2): 259-266.</span></td></tr>"
264,,"Weimerskirch, H., et al. (2018). ""Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses."" Polar Biology 41(2): 259-266.",Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses.,2018,"Weimerskirch, H., et al. (2018)",,northern giant petrel,Procellariiformes,Procellariidae,Macronectes,halli,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>northern giant petrel</td><td><em>Macronectes halli</em></td><td></td><td>dji phantom 3</td><td></td><td></td><td></td><td>Weimerskirch, H., et al. (2018) <span class=endnote>Weimerskirch, H., et al. (2018). ""Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses."" Polar Biology 41(2): 259-266.</span></td></tr>"
265,,"Weimerskirch, H., et al. (2018). ""Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses."" Polar Biology 41(2): 259-266.",Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses.,2018,"Weimerskirch, H., et al. (2018)",,imperial cormorant,Suliformes,Phalacrocoracidae,Leucocarbo,atriceps,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>imperial cormorant</td><td><em>Leucocarbo atriceps</em></td><td></td><td>dji phantom 3</td><td></td><td></td><td></td><td>Weimerskirch, H., et al. (2018) <span class=endnote>Weimerskirch, H., et al. (2018). ""Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses."" Polar Biology 41(2): 259-266.</span></td></tr>"
266,,"Weimerskirch, H., et al. (2018). ""Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses."" Polar Biology 41(2): 259-266.",Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses.,2018,"Weimerskirch, H., et al. (2018)",,sub-antarctic skua,Charadriiformes,Stercorariidae,Stercorarius,antarcticus,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>sub-antarctic skua</td><td><em>Stercorarius antarcticus</em></td><td></td><td>dji phantom 3</td><td></td><td></td><td></td><td>Weimerskirch, H., et al. (2018) <span class=endnote>Weimerskirch, H., et al. (2018). ""Flights of drones over sub-Antarctic seabirds show species-and status-specific behavioural and physiological responses."" Polar Biology 41(2): 259-266.</span></td></tr>"
267,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,great blue heron,Pelecaniformes,Ardeidae,Ardea,herodias,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>great blue heron</td><td><em>Ardea herodias</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
268,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,great egret,Pelecaniformes,Ardeidae,Ardea,alba,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>great egret</td><td><em>Ardea alba</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
269,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,little blue heron,Pelecaniformes,Ardeidae,Egretta,caerulea,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>little blue heron</td><td><em>Egretta caerulea</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
270,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,long-billed curlew,Charadriiformes,Scolopacidae,Numenius,americanus,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>long-billed curlew</td><td><em>Numenius americanus</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
271,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,plover,Charadriiformes,Charadriidae,-,-,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>plover</td><td><em>- -</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
272,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,reddish egret,Pelecaniformes,Ardeidae,Egretta,rufescens,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>reddish egret</td><td><em>Egretta rufescens</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
273,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,snowy egret,Pelecaniformes,Ardeidae,Egretta,thula,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>snowy egret</td><td><em>Egretta thula</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
274,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,tricolored heron,Pelecaniformes,Ardeidae,Egretta,tricolor,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>tricolored heron</td><td><em>Egretta tricolor</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
275,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,white ibis,Pelecaniformes,Threskiornithidae,Eudocimus,albus,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>white ibis</td><td><em>Eudocimus albus</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
276,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,willet,Charadriiformes,Scolopacidae,Tringa,semipalmata,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>willet</td><td><em>Tringa semipalmata</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
277,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,great blue heron,Pelecaniformes,Ardeidae,Ardea,herodias,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questuav aqua,,fixed wing,2134,-,,,,yellow/black,,,,,,,,,,,,,,,,,,"<tr><td>great blue heron</td><td><em>Ardea herodias</em></td><td></td><td>questuav aqua</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
278,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,great egret,Pelecaniformes,Ardeidae,Ardea,alba,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questuav aqua,,fixed wing,2134,-,,,,yellow/black,,,,,,,,,,,,,,,,,,"<tr><td>great egret</td><td><em>Ardea alba</em></td><td></td><td>questuav aqua</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
279,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,little blue heron,Pelecaniformes,Ardeidae,Egretta,caerulea,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questuav aqua,,fixed wing,2134,-,,,,yellow/black,,,,,,,,,,,,,,,,,,"<tr><td>little blue heron</td><td><em>Egretta caerulea</em></td><td></td><td>questuav aqua</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
280,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,long-billed curlew,Charadriiformes,Scolopacidae,Numenius,americanus,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questuav aqua,,fixed wing,2134,-,,,,yellow/black,,,,,,,,,,,,,,,,,,"<tr><td>long-billed curlew</td><td><em>Numenius americanus</em></td><td></td><td>questuav aqua</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
281,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,plover,Charadriiformes,Charadriidae,,,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questuav aqua,,fixed wing,2134,-,,,,yellow/black,,,,,,,,,,,,,,,,,,"<tr><td>plover</td><td><em> </em></td><td></td><td>questuav aqua</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
282,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,reddish egret,Pelecaniformes,Ardeidae,Egretta,rufescens,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questuav aqua,,fixed wing,2134,-,,,,yellow/black,,,,,,,,,,,,,,,,,,"<tr><td>reddish egret</td><td><em>Egretta rufescens</em></td><td></td><td>questuav aqua</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
283,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,snowy egret,Pelecaniformes,Ardeidae,Egretta,thula,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questuav aqua,,fixed wing,2134,-,,,,yellow/black,,,,,,,,,,,,,,,,,,"<tr><td>snowy egret</td><td><em>Egretta thula</em></td><td></td><td>questuav aqua</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
284,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,tricolored heron,Pelecaniformes,Ardeidae,Egretta,tricolor,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questuav aqua,,fixed wing,2134,-,,,,yellow/black,,,,,,,,,,,,,,,,,,"<tr><td>tricolored heron</td><td><em>Egretta tricolor</em></td><td></td><td>questuav aqua</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
285,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,white ibis,Pelecaniformes,Threskiornithidae,Eudocimus,albus,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questuav aqua,,fixed wing,2134,-,,,,yellow/black,,,,,,,,,,,,,,,,,,"<tr><td>white ibis</td><td><em>Eudocimus albus</em></td><td></td><td>questuav aqua</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
286,,"Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""",Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.,2018,"Vallery, A. C. (2018)",,willet,Charadriiformes,Scolopacidae,Tringa,semipalmata,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questuav aqua,,fixed wing,2134,-,,,,yellow/black,,,,,,,,,,,,,,,,,,"<tr><td>willet</td><td><em>Tringa semipalmata</em></td><td></td><td>questuav aqua</td><td></td><td></td><td></td><td>Vallery, A. C. (2018) <span class=endnote>Vallery, A. C. (2018). ""Assessment of shorebirds and wading birds in Galveston Bay using conventional and UAV techniques.""</span></td></tr>"
287,,"Valle, R. and F. Scarton (2018). ""Uso dei droni nel censimento degli uccelli acquatici nidificanti nel Nord Adriatico."" Bollettino del Museo di Storia naturale di Venezia 69: 69-75.",Uso dei droni nel censimento degli uccelli acquatici nidificanti nel Nord Adriatico.,2018,"Valle, R. and F. Scarton (2018)",,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<tr><td></td><td><em> </em></td><td></td><td></td><td></td><td></td><td></td><td>Valle, R. and F. Scarton (2018) <span class=endnote>Valle, R. and F. Scarton (2018). ""Uso dei droni nel censimento degli uccelli acquatici nidificanti nel Nord Adriatico."" Bollettino del Museo di Storia naturale di Venezia 69: 69-75.</span></td></tr>"
288,,"Strasser, E. H., et al. (2018). ""Winter monitoring of grassland birds in the Chihuahuan Desert."" 2018 Annual Report. Brighton (CO): Bird Conservancy of the Rockies.",Winter monitoring of grassland birds in the Chihuahuan Desert.,2018,"Strasser, E. H., et al. (2018)",,baird’s sparrow,Passeriformes,Passerellidae,Centronyx,bairdii,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>baird’s sparrow</td><td><em>Centronyx bairdii</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Strasser, E. H., et al. (2018) <span class=endnote>Strasser, E. H., et al. (2018). ""Winter monitoring of grassland birds in the Chihuahuan Desert."" 2018 Annual Report. Brighton (CO): Bird Conservancy of the Rockies.</span></td></tr>"
289,,"Strasser, E. H., et al. (2018). ""Winter monitoring of grassland birds in the Chihuahuan Desert."" 2018 Annual Report. Brighton (CO): Bird Conservancy of the Rockies.",Winter monitoring of grassland birds in the Chihuahuan Desert.,2018,"Strasser, E. H., et al. (2018)",,grasshopper sparrow,Passeriformes,Passerellidae,Ammodramus,savannarum,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>grasshopper sparrow</td><td><em>Ammodramus savannarum</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Strasser, E. H., et al. (2018) <span class=endnote>Strasser, E. H., et al. (2018). ""Winter monitoring of grassland birds in the Chihuahuan Desert."" 2018 Annual Report. Brighton (CO): Bird Conservancy of the Rockies.</span></td></tr>"
290,,"Strasser, E. H., et al. (2018). ""Winter monitoring of grassland birds in the Chihuahuan Desert."" 2018 Annual Report. Brighton (CO): Bird Conservancy of the Rockies.",Winter monitoring of grassland birds in the Chihuahuan Desert.,2018,"Strasser, E. H., et al. (2018)",,sprague’s pipit,Passeriformes,Motacillidae,Anthus,spragueii,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji phantom 4 pro,,quadcopter,350,-,,,,white,,,,,,,,,,,,,,,,,,"<tr><td>sprague’s pipit</td><td><em>Anthus spragueii</em></td><td></td><td>dji phantom 4 pro</td><td></td><td></td><td></td><td>Strasser, E. H., et al. (2018) <span class=endnote>Strasser, E. H., et al. (2018). ""Winter monitoring of grassland birds in the Chihuahuan Desert."" 2018 Annual Report. Brighton (CO): Bird Conservancy of the Rockies.</span></td></tr>"
291,,"Rush, G. P., et al. (2018). ""Can drones count gulls? Minimal disturbance and semiautomated image processing with an unmanned aerial vehicle for colony‐nesting seabirds."" Ecology and evolution 8(24): 12322-12334.",Can drones count gulls? Minimal disturbance and semiautomated image processing with an unmanned aerial vehicle for colony‐nesting seabirds.,2018,"Rush, G. P., et al. (2018)",,lesser black-backed gull,Charadriiformes,Laridae,Larus,fuscus,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dji inspire 1,,quadcopter,581,-,,,,white/black,,,,,,,,,,,,,,,,,,"<tr><td>lesser black-backed gull</td><td><em>Larus fuscus</em></td><td></td><td>dji inspire 1</td><td></td><td></td><td></td><td>Rush, G. P., et al. (2018) <span class=endnote>Rush, G. P., et al. (2018). ""Can drones count gulls? Minimal disturbance and semiautomated image processing with an unmanned aerial vehicle for colony‐nesting seabirds."" Ecology and evolution 8(24): 12322-12334.</span></td></tr>"
292,,"Rümmler, M.-C., et al. (2018). ""Sensitivity of Adélie and Gentoo penguins to various flight activities of a micro UAV."" Polar Biology 41(12): 2481-2493.",Sensitivity of Adélie and Gentoo penguins to various flight activities of a micro UAV.,2018,"Rümmler, M.-C., et al. (2018)",,gentoo penguin,Sphenisciformes,Spheniscidae,Pygoscelis,papua,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hisystems mk arf okto xl,,octocopter,730,70dB at 5m,,,,black,,,,,,,,,,,,,,,,,,"<tr><td>gentoo penguin</td><td><em>Pygoscelis papua</em></td><td></td><td>hisystems mk arf okto xl</td><td></td><td></td><td></td><td>Rümmler, M.-C., et al. (2018) <span class=endnote>Rümmler, M.-C., et al. (2018). ""Sensitivity of Adélie and Gentoo penguins to various flight activities of a micro UAV."" Polar Biology 41(12): 2481-2493.</span></td></tr>"
293,,"Rümmler, M.-C., et al. (2018). ""Sensitivity of Adélie and Gentoo penguins to various flight activities of a micro UAV."" Polar Biology 41(12): 2481-2493.",Sensitivity of Adélie and Gentoo penguins to various flight activities of a micro UAV.,2018,"Rümmler, M.-C., et al. (2018)",,adélie penguin,Sphenisciformes,Spheniscidae,Pygoscelis,adeliae,-,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hisystems mk arf okto xl,,octocopter,730,70dB at 5m,,,,black,,,,,,,,,,,,,,,,,,"<tr><td>adélie penguin</td><td><em>Pygoscelis adeliae</em></td><td></td><td>hisystems mk arf okto xl</td><td></td><td></td><td></td><td>Rümmler, M.-C., et al. (2018) <span class=endnote>Rümmler, M.-C., et al. (2018). ""Sensitivity of Adélie and Gentoo penguins to various flight activities of a micro UAV."" Polar Biology 41(12): 2481-2493.</span></td></tr>"
